registrar2, csStu1trans, read
registrar1, eeStu4trans, read
csStu2, cs602gradebook, readScore
csChair, csStu2trans, read
csStu2, csStu2trans, read
registrar1, cs101roster, write
csStu4, csStu4trans, read
registrar1, eeStu5trans, read
admissions1, eeStu3application, setStatus
eeFac1, ee101gradebook, readScore
admissions1, application1, read
registrar2, ee101roster, write
csFac1, cs101roster, read
csStu1, csStu1application, checkStatus
registrar2, cs602roster, read
admissions2, eeStu3application, setStatus
admissions2, eeStu5application, setStatus
registrar1, ee101roster, write
csStu3, cs601gradebook, readScore
registrar1, eeStu1trans, read
registrar2, eeStu1trans, read
admissions2, csStu4application, read
admissions2, eeStu1application, setStatus
registrar2, eeStu5trans, read
admissions1, eeStu4application, read
csStu5, cs601gradebook, readMyScores
csStu5, csStu5application, checkStatus
eeStu5, eeStu5trans, read
eeChair, eeStu1trans, read
registrar1, csStu3trans, read
csFac1, cs101gradebook, addScore
registrar2, csStu3trans, read
csStu3, csStu3application, checkStatus
eeStu2, ee101gradebook, addScore
eeStu2, ee602gradebook, addScore
registrar2, eeStu4trans, read
eeStu4, eeStu4application, checkStatus
eeChair, eeStu2trans, read
applicant1, application1, checkStatus
eeFac2, ee601roster, read
admissions1, csStu2application, read
registrar2, csStu4trans, read
eeFac2, ee601gradebook, readScore
registrar2, ee601roster, read
registrar2, cs602roster, write
admissions1, application2, read
registrar2, eeStu2trans, read
admissions1, application2, setStatus
csChair, csStu1trans, read
admissions1, eeStu1application, setStatus
admissions1, application1, setStatus
registrar1, csStu2trans, read
admissions1, eeStu2application, setStatus
admissions1, csStu5application, read
admissions2, csStu1application, read
csStu3, cs601gradebook, addScore
eeStu2, ee602gradebook, readScore
csStu3, cs602gradebook, readMyScores
eeFac1, ee101gradebook, assignGrade
registrar1, csStu4trans, read
admissions2, csStu2application, read
csFac2, cs601gradebook, readScore
registrar1, cs602roster, write
csFac2, cs601roster, read
registrar1, csStu5trans, read
csChair, csStu3trans, read
admissions2, csStu4application, setStatus
registrar1, eeStu3trans, read
registrar2, eeStu3trans, read
eeStu5, ee602gradebook, readMyScores
admissions2, csStu3application, setStatus
csFac1, cs101gradebook, changeScore
eeChair, eeStu5trans, read
registrar1, ee602roster, read
eeChair, eeStu4trans, read
registrar1, csStu1trans, read
registrar1, cs101roster, read
admissions2, csStu5application, read
eeStu2, eeStu2trans, read
admissions2, csStu5application, setStatus
registrar2, cs601roster, read
admissions2, eeStu1application, read
admissions1, csStu3application, setStatus
admissions1, eeStu4application, setStatus
csStu2, cs601gradebook, readMyScores
admissions1, eeStu1application, read
eeStu5, eeStu5application, checkStatus
admissions1, csStu1application, read
eeStu2, ee601gradebook, readMyScores
admissions2, eeStu3application, read
eeStu1, eeStu1application, checkStatus
admissions2, eeStu4application, read
registrar2, ee602roster, read
admissions2, eeStu2application, read
admissions2, csStu1application, setStatus
admissions2, eeStu5application, read
registrar1, ee601roster, write
registrar2, cs101roster, write
eeStu3, ee601gradebook, addScore
csStu3, csStu3trans, read
eeChair, eeStu3trans, read
csStu4, csStu4application, checkStatus
csFac1, cs101gradebook, assignGrade
admissions1, csStu5application, setStatus
eeStu4, eeStu4trans, read
eeStu2, ee101gradebook, readScore
registrar1, eeStu2trans, read
admissions1, eeStu2application, read
csStu4, cs601gradebook, readMyScores
admissions1, csStu1application, setStatus
eeFac1, ee101roster, read
eeFac2, ee601gradebook, changeScore
registrar1, ee101roster, read
admissions2, application2, setStatus
eeStu3, ee601gradebook, readScore
admissions2, csStu2application, setStatus
registrar1, cs601roster, write
admissions2, csStu3application, read
csFac2, cs601gradebook, changeScore
csStu2, csStu2application, checkStatus
registrar1, cs602roster, read
registrar1, ee602roster, write
eeStu5, ee601gradebook, readMyScores
csFac2, cs601gradebook, assignGrade
registrar1, cs601roster, read
eeStu1, eeStu1trans, read
registrar1, ee601roster, read
registrar2, cs601roster, write
admissions2, application1, read
admissions2, application1, setStatus
admissions2, eeStu4application, setStatus
eeStu3, ee602gradebook, readMyScores
registrar2, ee101roster, read
csChair, csStu4trans, read
registrar2, csStu5trans, read
admissions1, csStu4application, read
applicant2, application2, checkStatus
eeStu2, eeStu2application, checkStatus
csStu5, cs602gradebook, readMyScores
admissions2, application2, read
registrar2, ee601roster, write
eeFac1, ee101gradebook, addScore
admissions1, csStu2application, setStatus
eeFac2, ee601gradebook, assignGrade
eeFac1, ee101gradebook, changeScore
csStu2, cs602gradebook, addScore
admissions1, eeStu5application, setStatus
csFac1, cs101gradebook, readScore
eeStu3, eeStu3trans, read
admissions1, csStu3application, read
registrar2, cs101roster, read
eeStu1, ee101gradebook, readMyScores
eeFac2, ee601gradebook, addScore
eeStu3, eeStu3application, checkStatus
csStu2, cs101gradebook, readScore
csFac2, cs601gradebook, addScore
admissions1, csStu4application, setStatus
admissions1, eeStu3application, read
csStu5, csStu5trans, read
csChair, csStu5trans, read
csStu1, cs101gradebook, readMyScores
admissions2, eeStu2application, setStatus
eeStu4, ee601gradebook, readMyScores
admissions1, eeStu5application, read
registrar2, ee602roster, write
registrar2, csStu2trans, read
csStu2, cs101gradebook, addScore
csStu1, csStu1trans, read
