```
rule(position=nurse, ward=oncWard; type=HR; {addItem}; patient=patient)
rule(position=nurse, ward=carWard; type=HR; {addItem}; patient=patient)
rule(position=doctor, specialties ] {anesthesiology}, teams > {oncTeam1, carTeam1}; type=HR; {addItem}; patient=oncPat1)
rule(position=doctor, specialties ] {cardiology}, teams > {carTeam1}; type=HR; {addItem}; patient=carPat1)
rule(position=doctor, specialties ] {cardiology}, teams > {carTeam2}; type=HR; {addItem}; patient=carPat2)
rule(position=doctor, specialties ] {oncology}, teams > {oncTeam1}; type=HR; {addItem}; patient=oncPat1)
rule(position=doctor, specialties ] {oncology}, teams > {oncTeam1}; type=HRitem, patient=oncPat1, topics ] {oncology}; {read}; treatingTeam=treatingTeam)
rule(position=doctor, specialties ] {oncology}, teams > {oncTeam2}; type=HR; {addItem}; patient=oncPat2)
rule(position=doctor, specialties ] {oncology}, teams > {oncTeam2}; type=HRitem, patient=oncPat2, topics ] {oncology}; {read}; treatingTeam=treatingTeam)
rule(position=doctor, specialties ] {cardiology}, teams > {carTeam1}; type=HRitem, patient=carPat1, topics ] {cardiology}; {read}; treatingTeam=treatingTeam)
rule(position=doctor, specialties ] {cardiology}, teams > {carTeam2}; type=HRitem, patient=carPat2, topics ] {cardiology}; {read}; treatingTeam=treatingTeam)
rule(specialties ] {oncology pediatrics}; type=HRitem, patient=oncPat2, topics ] {oncology}; {read}; author=author)
rule(specialties ] {cardiology neurology}; type=HRitem, patient=carPat2, topics ] {cardiology}; {read}; author=author)
rule(agentFor ] oncPat2; type=HRitem, patient=oncPat2, topics ] {note}; {read, addNote}; treatingTeam=treatingTeam)
rule(agentFor ] carPat2; type=HRitem, patient=carPat2, topics ] {note}; {read}; treatingTeam=treatingTeam)
rule(agentFor ] oncPat2; type=HR; {addNote}; patient=oncPat2)
rule(agentFor ] carPat2; type=HR; {addNote}; patient=carPat2)
rule(; type=HRitem, patient=oncPat1, topics ] {note}; {read}; author=oncPat1)
rule(; type=HR, patient=oncPat1; {addNote}; patient=patient)
rule(; type=HRitem, patient=oncPat1, topics ] {nursing}; {read}; author=oncNurse2)
rule(; type=HRitem, patient=oncPat2, topics ] {nursing}; {read}; author=oncNurse1)
rule(; type=HRitem, patient=carPat1, topics ] {nursing}; {read}; author=carNurse1)
rule(; type=HRitem, patient=carPat2, topics ] {nursing}; {read}; author=carNurse2)
rule(; type=HRitem, patient=carPat1, topics ] {note}; {read}; author=carPat1)
rule(; type=HR, patient=carPat1; {addNote}; patient=patient)
rule(; type=HR, patient=carPat2; {addNote}; patient=patient)
```
