rule(position=nurse, ward=oncWard; type=HRitem; acts={read}; patient=patient, topics]{nursing})
rule(position=nurse, ward=carWard; type=HRitem; acts={read}; patient=patient, topics]{nursing})
rule(position=doctor, specialties]{oncology}; type=HRitem; acts={read, addItem}; patient=patient, topics]{oncology}, author=uid)
rule(position=doctor, specialties]{cardiology}; type=HRitem; acts={read}; patient=patient, topics]{cardiology})
rule(position=patient; type=HR; acts={addNote}; patient=uid)
rule(position=agent; type=HR; acts={addNote}; patient=agentFor)
rule(position=agent; type=HRitem; acts={read}; patient=agentFor, topics={note})
rule(position=patient; type=HRitem; acts={read}; patient=uid, topics={note})
rule(teams]oncTeam1; type=HR; acts={addItem}; treatingTeam=oncTeam1)
rule(teams]carTeam1; type=HR; acts={addItem}; treatingTeam=carTeam1)
rule(teams]oncTeam2; type=HR; acts={addItem}; treatingTeam=oncTeam2)
rule(position=doctor, specialties]{oncology pediatrics}; type=HRitem; acts={read}; patient=patient, topics]{oncology})
rule(position=doctor, specialties]{cardiology neurology}; type=HRitem; acts={read}; patient=patient, topics]{cardiology})
rule(position=nurse; type=HR; acts={addItem}; ward=ward, patient=patient)
rule(position=doctor; type=HR; acts={addItem}; teams]treatingTeam)
