carDoc2, oncPat1HR, acts={rea
carNurse2, carPat1HR, acts={rea
oncPat1, oncPat2oncItem, acts={rea
carDoc1, oncPat2oncItem, acts={rea
doc2, oncPat1oncItem, acts={rea
doc1, oncPat1nursingItem, acts={rea
oncAgent2, oncPat2noteItem, acts={rea
oncAgent1, carPat2nursingItem, acts={rea
oncNurse1, oncPat1nursingItem, acts={addItem}
carAgent1, oncPat2oncItem, acts={rea
oncNurse1, carPat2noteItem, acts={rea
anesDoc1, oncPat2HR, acts={rea
doc2, carPat1nursingItem, acts={rea
doc1, oncPat2oncItem, acts={rea
oncAgent2, carPat1nursingItem, acts={rea
carNurse1, oncPat2oncItem, acts={rea
doc2, oncPat1nursingItem, acts={rea
oncNurse1, carPat2carItem, acts={rea
carAgent2, carPat2noteItem, acts={rea
carNurse1, carPat1HR, acts={addItem}
oncNurse2, oncPat2oncItem, acts={rea
carPat2, carPat2noteItem, acts={rea
carPat1, carPat2carItem, acts={addItem}
anesDoc1, carPat2carItem, acts={rea
oncAgent1, carPat1HR, acts={rea
carDoc2, carPat2HR, acts={rea
oncNurse2, oncPat2nursingItem, acts={rea
oncDoc1, oncPat2nursingItem, acts={rea
oncDoc4, carPat2HR, acts={rea
oncNurse2, oncPat2noteItem, acts={rea
oncDoc2, oncPat1nursingItem, acts={rea
anesDoc1, oncPat1oncItem, acts={rea
carDoc1, carPat2HR, acts={rea
oncPat2, carPat1nursingItem, acts={rea
oncDoc4, carPat2nursingItem, acts={rea
oncDoc1, oncPat1HR, acts={rea
oncDoc4, oncPat1nursingItem, acts={rea
carAgent1, oncPat1nursingItem, acts={rea
carAgent2, carPat1HR, acts={rea
doc2, carPat2nursingItem, acts={rea
carDoc2, carPat1nursingItem, acts={rea
carDoc1, carPat2nursingItem, acts={rea
carPat2, carPat1carItem, acts={rea
carAgent1, oncPat2noteItem, acts={rea
carPat1, oncPat1nursingItem, acts={rea
carPat2, carPat1noteItem, acts={addItem}
carDoc1, carPat1nursingItem, acts={rea
carPat2, carPat1nursingItem, acts={rea
carPat1, carPat1HR, acts={addItem}
carPat2, oncPat1noteItem, acts={rea
doc2, oncPat1noteItem, acts={rea
oncAgent2, oncPat2oncItem, acts={rea
oncAgent2, carPat2noteItem, acts={rea
oncAgent1, carPat2noteItem, acts={rea
oncDoc3, carPat1HR, acts={rea
oncDoc2, carPat1nursingItem, acts={rea
carDoc2, oncPat2oncItem, acts={rea
carAgent2, oncPat2HR, acts={rea
carNurse1, oncPat1noteItem, acts={rea
oncDoc1, oncPat2noteItem, acts={rea
oncNurse2, carPat1noteItem, acts={rea
oncNurse2, oncPat2noteItem, acts={addItem}
carAgent2, oncPat1HR, acts={rea
oncNurse2, oncPat1oncItem, acts={addItem}
oncDoc4, oncPat1HR, acts={rea
oncNurse1, oncPat1oncItem, acts={rea
carAgent1, carPat1nursingItem, acts={rea
carDoc1, oncPat1noteItem, acts={rea
carAgent2, carPat2nursingItem, acts={rea
carNurse2, carPat1nursingItem, acts={rea
oncNurse2, oncPat1oncItem, acts={rea
carDoc1, oncPat2nursingItem, acts={rea
oncAgent2, carPat1noteItem, acts={rea
oncPat2, oncPat2oncItem, acts={addItem}
carNurse2, oncPat2nursingItem, acts={rea
carPat1, carPat2HR, acts={addItem}
oncPat2, carPat1HR, acts={rea
carPat1, oncPat2noteItem, acts={rea
oncDoc3, oncPat1noteItem, acts={rea
oncNurse2, carPat2noteItem, acts={rea
carNurse2, carPat1carItem, acts={rea
carDoc2, carPat2noteItem, acts={rea
oncNurse1, oncPat1noteItem, acts={addItem}
doc2, oncPat2oncItem, acts={rea
oncPat2, oncPat2nursingItem, acts={addItem}
oncAgent1, oncPat1noteItem, acts={rea
oncPat2, oncPat1HR, acts={rea
oncDoc4, oncPat2noteItem, acts={rea
doc1, oncPat2nursingItem, acts={rea
carPat2, carPat2nursingItem, acts={rea
oncAgent2, oncPat2nursingItem, acts={rea
oncPat1, carPat2noteItem, acts={rea
carPat1, carPat2nursingItem, acts={addItem}
oncAgent1, oncPat2nursingItem, acts={rea
carDoc1, oncPat1nursingItem, acts={rea
oncAgent1, carPat1carItem, acts={rea
carNurse1, carPat2noteItem, acts={addItem}
oncDoc2, carPat2nursingItem, acts={rea
carPat1, carPat1noteItem, acts={rea
oncDoc3, carPat2noteItem, acts={rea
carPat2, carPat2nursingItem, acts={addItem}
oncPat1, carPat1nursingItem, acts={rea
carPat2, oncPat1nursingItem, acts={rea
carNurse1, oncPat2HR, acts={rea
anesDoc1, oncPat1noteItem, acts={rea
oncAgent1, oncPat1HR, acts={rea
carPat1, carPat2noteItem, acts={addItem}
oncDoc3, oncPat1oncItem, acts={rea
oncDoc3, oncPat1HR, acts={rea
oncAgent1, oncPat1oncItem, acts={rea
anesDoc1, carPat1HR, acts={rea
oncPat2, oncPat1oncItem, acts={addItem}
carPat2, oncPat1HR, acts={rea
carDoc2, oncPat2nursingItem, acts={rea
carPat1, carPat2carItem, acts={rea
carDoc2, oncPat1noteItem, acts={rea
carNurse1, oncPat1oncItem, acts={rea
carNurse1, oncPat2noteItem, acts={rea
oncDoc1, oncPat1oncItem, acts={rea
carAgent1, oncPat1noteItem, acts={rea
doc1, carPat2HR, acts={rea
oncDoc2, carPat2carItem, acts={rea
carDoc2, carPat1HR, acts={rea
doc2, carPat2HR, acts={rea
oncPat2, carPat1carItem, acts={rea
oncDoc1, carPat2carItem, acts={rea
oncPat1, carPat2HR, acts={rea
oncDoc2, oncPat2HR, acts={rea
carNurse2, oncPat1oncItem, acts={rea
oncAgent2, carPat1HR, acts={rea
carDoc1, carPat1noteItem, acts={rea
carDoc2, carPat2nursingItem, acts={rea
oncNurse1, carPat2nursingItem, acts={rea
carPat1, carPat1noteItem, acts={addItem}
carNurse1, carPat1HR, acts={rea
carAgent1, oncPat1oncItem, acts={rea
oncDoc4, carPat1nursingItem, acts={rea
carAgent2, carPat1noteItem, acts={rea
carNurse1, carPat1nursingItem, acts={addItem}
carPat1, carPat2HR, acts={rea
oncNurse1, oncPat2nursingItem, acts={addItem}
carDoc1, oncPat2HR, acts={rea
oncPat1, carPat2carItem, acts={rea
carAgent2, oncPat1oncItem, acts={rea
oncDoc4, oncPat1noteItem, acts={rea
oncDoc1, oncPat1noteItem, acts={rea
carNurse2, oncPat1noteItem, acts={rea
oncPat1, oncPat2oncItem, acts={addItem}
oncNurse1, oncPat1HR, acts={rea
oncNurse1, carPat1carItem, acts={rea
carPat2, carPat1HR, acts={rea
carAgent1, carPat1noteItem, acts={rea
oncAgent1, oncPat2noteItem, acts={rea
oncNurse1, oncPat1noteItem, acts={rea
oncPat2, oncPat2nursingItem, acts={rea
oncPat2, oncPat1nursingItem, acts={addItem}
oncAgent2, oncPat1noteItem, acts={rea
carPat1, oncPat2oncItem, acts={rea
carAgent1, oncPat2HR, acts={rea
oncPat1, carPat1carItem, acts={rea
oncAgent2, oncPat1HR, acts={rea
oncAgent2, oncPat2HR, acts={rea
carNurse1, oncPat1HR, acts={rea
oncDoc4, carPat1noteItem, acts={rea
oncDoc2, carPat1HR, acts={rea
carNurse1, carPat1carItem, acts={addItem}
carDoc1, carPat2noteItem, acts={rea
doc2, oncPat2HR, acts={rea
doc2, oncPat2nursingItem, acts={rea
anesDoc1, oncPat1HR, acts={rea
carNurse2, oncPat1HR, acts={rea
oncPat2, oncPat1nursingItem, acts={rea
oncNurse2, carPat1HR, acts={rea
oncDoc2, carPat1carItem, acts={rea
oncPat1, oncPat1oncItem, acts={rea
oncDoc3, oncPat1nursingItem, acts={rea
oncPat1, oncPat2nursingItem, acts={rea
oncNurse2, oncPat1noteItem, acts={rea
carPat2, carPat1nursingItem, acts={addItem}
oncNurse1, oncPat2noteItem, acts={rea
oncPat1, oncPat2HR, acts={rea
oncPat1, oncPat1oncItem, acts={addItem}
oncPat2, carPat2noteItem, acts={rea
