rule(position=patient, uid=oncPat2 ; rid=oncPat2HR ; {addNote} ; )
rule(position=doctor, specialties]{anesthesiology}, teams]{oncTeam1 carTeam1} ; type=HR ; {addItem} ; treatingTeam = oncTeam1, patient=oncPat1)
rule(position=doctor, specialties]{anesthesiology}, teams]{oncTeam1 carTeam1} ; type=HR ; {addItem} ; treatingTeam = carTeam1, patient=carPat1)
rule(position=nurse, ward=carWard ; type=HR ; {addItem} ; patient=carPat2)
rule(position=nurse, ward=oncWard ; type=HR ; {addItem} ; patient=oncPat1)
rule(position=agent, agentFor]{oncPat2} ; rid=oncPat2HR ; {addNote} ; )
rule(position=agent, agentFor]{carPat2} ; rid=carPat2noteItem ; {read} ; )
rule(author=oncDoc1 ; rid=oncPat1oncItem ; {read} ; )
rule(position=doctor, specialties]{oncology}, teams]{oncTeam1} ; type=HR ; {addItem} ; patient=oncPat1)
rule(position=patient, uid=oncPat1 ; rid=oncPat1HR ; {addNote} ; )
rule(position=nurse, ward=carWard ; type=HR ; {addItem} ; patient=carPat1)
rule(position=agent, agentFor]{oncPat2} ; rid=oncPat2noteItem ; {read} ; )
rule(author=carDoc2 ; rid=carPat2carItem ; {read} ; )
rule(author=carDoc2 ; rid=carPat1carItem ; {read} ; )
rule(position=nurse, ward=carWard ; type=HR ; {addItem} ; patient=carPat1)
rule(oncDoc1 ; type=HRitem ; {read} ; author=oncDoc1, rid=oncPat1oncItem)
rule(position=doctor, specialties]{cardiology}, teams]{carTeam1} ; type=HR ; {addItem} ; patient=carPat1)
rule(position=nurse ; type=HRitem, topics]{nursing} ; {read} ; ward=carWard, patient=carPat1)
rule(position=patient, uid=carPat1 ; rid=carPat1noteItem ; {read} ; )
rule(position=doctor, specialties]{cardiology}, teams]{carTeam2} ; type=HR ; {addItem} ; patient=carPat2)
rule(position=patient, uid=oncPat1 ; rid=oncPat1noteItem ; {read} ; )
rule(position=nurse ; type=HRitem, topics]{nursing} ; {read} ; ward=oncWard, patient=oncPat2)
rule(position=nurse, ward=oncWard ; type=HR ; {addItem} ; patient=oncPat1)
rule(position=patient, uid=carPat1 ; rid=carPat1HR ; {addNote} ; )
rule(author=carNurse1 ; rid=carPat1nursingItem ; {read} ; )
rule(position=agent, agentFor]{oncPat2} ; rid=oncPat2HR ; {addNote} ; )
rule(author=doc1 ; rid=oncPat2oncItem ; {read} ; )
rule(position=doctor, specialties]{oncology}, teams]{oncTeam2} ; type=HR ; {addItem} ; patient=oncPat2)
rule(specialties]{oncology}, teams]{oncTeam2} ; rid=oncPat2oncItem ; {read} ; position=doctor)
rule(position=patient, uid=carPat2 ; rid=carPat2HR ; {addNote} ; )
rule(position=nurse ; type=HRitem, topics]{nursing} ; {read} ; ward=oncWard, patient=oncPat1)
rule(position=agent, agentFor]{oncPat2} ; rid=oncPat2HR ; {addNote} ; )
rule(position=nurse ; type=HRitem, topics]{nursing} ; {read} ; ward=oncWard, patient=oncPat1)
