csFac1, ee101gradebook, addScore
eeFac1, cs602gradebook, readScore
eeStu4, eeStu5trans, read
eeFac1, cs601gradebook, assignGrade
csStu2, csStu4trans, read
csStu4, eeStu5trans, read
csStu1, csStu3trans, read
eeFac1, cs601gradebook, readScore
registrar1, ee601roster, read
registrar2, ee601roster, write
eeFac2, ee101gradebook, readScore
eeFac1, ee602roster, read
csStu1, eeStu4trans, read
eeStu5, ee101gradebook, readMyScores
csFac1, cs602gradebook, assignGrade
csStu3, csStu5trans, read
eeStu2, ee101gradebook, readScore
csStu3, cs101gradebook, readMyScores
csStu4, ee602gradebook, readScore
eeStu5, cs601gradebook, readMyScores
admissions2, ee601roster, write
csFac1, cs101gradebook, addScore
csStu5, cs602gradebook, readScore
admissions1, ee601gradebook, write
csFac1, cs101gradebook, assignGrade
csStu1, cs602gradebook, readScore
admissions2, cs602roster, write
registrar2, ee601gradebook, write
csFac1, cs601gradebook, assignGrade
admissions1, cs602roster, write
registrar1, ee101roster, write
eeFac1, cs101gradebook, addScore
eeStu1, ee602gradebook, readScore
eeFac1, ee101gradebook, readScore
csStu4, ee602gradebook, readMyScores
csStu1, csStu1trans, read
csStu2, eeStu1trans, read
admissions2, ee101gradebook, write
csStu5, eeStu4trans, read
csStu5, eeStu2trans, read
csStu3, cs601gradebook, readScore
eeFac1, ee602gradebook, readScore
admissions2, ee601gradebook, write
csStu3, csStu1trans, read
eeFac2, cs601gradebook, assignGrade
eeFac1, cs101gradebook, changeScore
eeFac1, cs602gradebook, changeScore
csStu4, eeStu4trans, read
registrar1, cs601gradebook, write
csStu1, ee101gradebook, readMyScores
csFac2, ee101gradebook, assignGrade
csFac1, cs602gradebook, changeScore
admissions2, cs602gradebook, write
eeFac1, ee101gradebook, addScore
csStu4, cs101gradebook, readScore
eeFac2, ee101gradebook, assignGrade
csStu5, csStu2trans, read
eeStu1, ee101gradebook, readScore
csStu3, cs602gradebook, readMyScores
eeStu5, eeStu2trans, read
csFac1, cs601gradebook, readScore
csFac2, ee601gradebook, readScore
csStu5, eeStu3trans, read
registrar2, cs601roster, write
csStu4, ee101gradebook, readMyScores
registrar2, cs602roster, write
csStu4, cs101gradebook, readMyScores
eeStu5, csStu4trans, read
csFac2, cs101roster, read
eeStu2, cs602gradebook, readMyScores
registrar2, cs601roster, read
csStu5, ee101gradebook, readScore
registrar1, cs602gradebook, write
csFac1, ee601gradebook, readScore
eeFac2, ee601gradebook, changeScore
registrar1, ee602gradebook, write
eeStu4, cs101gradebook, readMyScores
eeStu4, ee602gradebook, readMyScores
csStu2, eeStu2trans, read
eeStu2, csStu5trans, read
eeStu1, eeStu2trans, read
admissions1, cs101roster, read
csFac2, cs101gradebook, readScore
eeStu5, cs601gradebook, readScore
csStu3, eeStu2trans, read
csStu2, cs101gradebook, readMyScores
eeFac1, cs602roster, read
csStu2, cs602gradebook, readMyScores
eeStu1, csStu1trans, read
csFac1, cs601roster, read
eeStu2, ee602gradebook, readScore
registrar1, cs101gradebook, write
eeFac2, ee602roster, read
eeStu1, csStu2trans, read
eeStu3, csStu1trans, read
csFac2, ee602roster, read
csStu4, cs601gradebook, readScore
csFac1, cs602roster, read
eeFac1, cs101gradebook, assignGrade
csFac2, ee601gradebook, assignGrade
eeStu1, cs101gradebook, readScore
eeStu4, ee602gradebook, readScore
csStu2, csStu5trans, read
eeFac2, cs601roster, read
eeFac1, cs101roster, read
eeStu3, ee101gradebook, readScore
eeFac1, ee602gradebook, changeScore
admissions1, ee602roster, read
eeFac2, cs601gradebook, addScore
csFac2, cs101gradebook, changeScore
eeStu5, cs101gradebook, readScore
eeFac1, ee601gradebook, readScore
eeStu5, eeStu3trans, read
csStu4, eeStu2trans, read
eeStu5, eeStu4trans, read
csFac2, ee602gradebook, readScore
csFac2, ee101roster, read
registrar2, ee602gradebook, write
csStu2, cs101gradebook, readScore
